step,wall_time,rollout/ep_env_rew_mean,rollout/ep_len_mean,rollout/n_goal_reached
24000,1690035985.2334836,-999.53125,1000.0,0.0
48000,1690036206.7528455,-886.28125,1000.0,0.0
72000,1690036473.7468936,-904.9375,1000.0,0.0
96000,1690036743.4908113,-827.65625,1000.0,0.0
120000,1690037013.0783322,-898.875,1000.0,0.0
144000,1690037283.697491,-856.125,1000.0,0.0
168000,1690037558.2094462,-874.625,1000.0,0.0
192000,1690037833.0197856,-749.6875,1000.0,0.0
216000,1690038108.58754,-892.84375,1000.0,0.0
240000,1690038383.032688,-901.75,1000.0,0.0
264000,1690038660.4933016,-743.6875,1000.0,0.0
288000,1690038941.05181,-679.8125,1000.0,0.0
312000,1690039222.69244,-639.75,1000.0,0.0
336000,1690039503.8309538,-610.3125,1000.0,0.0
360000,1690039786.2334526,-776.3125,1000.0,0.0
384000,1690040071.193792,-610.4166666666666,999.8400065104166,0.0
408000,1690040359.811217,-573.75,999.760009765625,0.0
432000,1690040650.6891263,-458.5625,999.760009765625,0.0
456000,1690040942.6343434,-509.65625,996.8933512369791,0.041666666666666664
480000,1690041238.0767107,-535.5520833333334,994.0066731770834,0.041666666666666664
504000,1690041531.4067504,-479.875,993.4000244140624,0.0
528000,1690041825.7346432,-430.9375,993.4000244140624,0.0
552000,1690042126.0593083,-336.2291666666667,987.0033365885416,0.041666666666666664
576000,1690042426.3225892,-326.375,990.6366577148438,0.0
600000,1690042724.3397114,-323.75,992.1699829101562,0.0
624000,1690043024.364232,-322.4375,992.1699829101562,0.0
648000,1690043327.208564,-312.46875,997.3899943033854,0.0
672000,1690043630.42757,-315.875,1000.0,0.0
696000,1690043933.6551704,-293.21875,999.2533365885416,0.041666666666666664
720000,1690044242.6015275,-324.4604187011719,988.2733357747396,0.14166667064030963
744000,1690044559.943365,-334.7361145019531,967.0433553059896,0.16203703731298447
768000,1690044884.6111686,-313.92592366536456,949.9499918619791,0.15740740795930228
792000,1690045210.6749437,-333.0729166666667,942.9666544596354,0.041666666666666664
816000,1690045534.1283138,-456.8541666666667,949.57666015625,0.041666666666666664
840000,1690045859.4760602,-308.0162048339844,957.4300130208334,0.1157407412926356
864000,1690046184.7048385,-447.5138854980469,963.0800170898438,0.03703703731298447
888000,1690046506.7789028,-306.65625,967.7633463541666,0.041666666666666664
912000,1690046837.295881,-325.11974080403644,953.9700113932291,0.19991582880417505
936000,1690047172.2370405,-278.5074768066406,883.7900187174479,0.5800569951534271
960000,1690047501.2534974,-323.86712646484375,862.7233479817709,0.2157407452662786
984000,1690047830.6934338,-246.27685038248697,832.0399983723959,0.3629629711310069
1008000,1690048167.195153,-238.08240254720053,797.5933430989584,0.7740740776062012
1032000,1690048494.847563,-267.3068135579427,791.5433349609375,0.30151515702406567
1056000,1690048838.6340358,-188.765625,702.7833251953125,0.837499996026357
1080000,1690049189.4450293,-212.85269165039062,635.8966674804688,0.8531468510627747
1104000,1690049550.886886,-161.15359751383463,499.5,0.9649122754732767
1128000,1690049956.0229166,-131.63671875,335.07666015625,0.9666666587193807
1152000,1690050339.703997,-136.71354166666666,324.9566650390625,0.988095243771871
1176000,1690050762.3460667,-111.03910573323567,274.87000528971356,0.9904761910438538
1200000,1690051200.6968746,-103.53086853027344,244.25333658854166,0.9559440016746521
1224000,1690051632.2020862,-102.91331736246745,250.69666544596353,1.0
1248000,1690052078.0735786,-100.37041982014973,225.42333475748697,0.9833333293596903
1272000,1690052534.8941448,-96.28259023030598,210.49000040690103,1.0
1296000,1690052994.2251892,-93.19103495279948,208.36666870117188,0.9909909963607788
1320000,1690053467.5154448,-85.09574890136719,190.49333699544272,1.0
1344000,1690053952.1591854,-83.60446675618489,180.02333068847656,0.9918699264526367
1368000,1690054430.9448993,-92.07694753011067,188.81999715169272,0.9924242496490479
1392000,1690054908.8644426,-87.44108327229817,187.7566680908203,0.9851851860682169
1416000,1690055382.179217,-96.41635131835938,193.90666707356772,0.9912280639012655
1440000,1690055856.8266227,-86.95362599690755,198.62666829427084,0.9916666746139526
1464000,1690056334.7635472,-90.20473734537761,189.34333292643228,1.0
1488000,1690056795.6845973,-105.79121653238933,206.12666829427084,0.9744062225023905
1512000,1690057273.2221127,-81.09212239583333,182.52999877929688,1.0
1536000,1690057730.0572045,-104.81469472249348,212.20999654134116,0.9901960690816244
1560000,1690058207.3008044,-82.38788096110027,185.11666870117188,1.0
1584000,1690058687.2072136,-82.96813456217448,181.38333129882812,1.0
1608000,1690059168.8100836,-86.68507893880208,181.31000264485678,1.0
1632000,1690059652.862011,-89.12499491373698,180.80332946777344,0.9916666746139526
1656000,1690060141.3472135,-85.80202229817708,180.94000244140625,0.9851851860682169
1680000,1690060617.0913603,-100.52062733968098,182.19666544596353,0.98373015721639
1704000,1690061091.6751702,-101.38987731933594,195.59666442871094,0.9755799770355225
1728000,1690061577.3636005,-90.88363138834636,179.11333211263022,1.0
1752000,1690062062.691515,-83.48608144124348,178.07000223795572,0.9924242496490479
1776000,1690062549.0026114,-80.40212504069011,174.13333129882812,1.0
1800000,1690063031.6860752,-93.7882308959961,180.64999389648438,0.9839334090550741
1824000,1690063509.4760303,-85.85810852050781,190.05333455403647,1.0
1848000,1690063979.499772,-98.41895548502605,198.9333292643229,0.9914529919624329
1872000,1690064451.7577143,-97.40270741780598,197.1300048828125,0.9912280639012655
1896000,1690064923.4318845,-101.79878997802734,196.79666646321616,0.9914529919624329
1920000,1690065403.9994514,-87.09971364339192,180.84000142415366,1.0
1944000,1690065870.6705065,-89.42734781901042,178.65999857584634,1.0
1968000,1690066325.1525335,-91.9041035970052,186.90999857584634,1.0
1992000,1690066783.9780352,-84.89461263020833,180.52999877929688,0.9918699264526367
2016000,1690067240.2237017,-89.6374282836914,183.34666442871094,0.9914529919624329
2040000,1690067701.3354838,-87.02134450276692,180.61333211263022,1.0
2064000,1690068152.807414,-87.83143870035808,192.19666544596353,1.0
2088000,1690068610.3752306,-83.90053812662761,182.66333516438803,1.0
2112000,1690069061.6069803,-96.89801534016927,190.68333435058594,0.9916666746139526
2136000,1690069516.685084,-87.47170511881511,183.36666361490884,1.0
2160000,1690069958.339351,-102.63035837809245,195.81666564941406,0.9920634826024374
2184000,1690070412.6117537,-77.79080200195312,181.93333435058594,1.0
2208000,1690070876.3230417,-82.94727071126302,175.52000427246094,1.0
2232000,1690071340.2550116,-82.16245015462239,175.25666300455728,0.9924242496490479
2256000,1690071796.0515652,-89.07346089680989,188.05999755859375,1.0
2280000,1690072258.6576593,-81.2009048461914,177.20333353678384,1.0
2304000,1690072711.5927918,-84.9275131225586,188.86333211263022,1.0
2328000,1690073172.1633778,-83.12666829427083,184.52666727701822,1.0
2352000,1690073635.257981,-75.22703043619792,176.80333455403647,1.0
2376000,1690074095.761817,-78.08844248453777,175.29000345865884,1.0
2400000,1690074570.214075,-75.16235860188802,173.6866658528646,1.0
2424000,1690075043.5189848,-77.49473063151042,172.35999552408853,1.0
2448000,1690075494.8095913,-91.45104217529297,190.81333923339844,0.9916666746139526
2472000,1690075960.34144,-74.51498921712239,169.71000162760416,1.0
2496000,1690076415.9099271,-87.88647969563802,187.44000244140625,1.0
2520000,1690076878.5296288,-84.5670878092448,183.91666666666666,1.0
2544000,1690077343.1952782,-73.6596450805664,171.74000040690103,1.0
2568000,1690077825.07483,-72.18142191569011,160.94667053222656,1.0
2592000,1690078289.5818017,-73.94130325317383,170.9566650390625,1.0
2616000,1690078752.6789618,-91.86788177490234,175.8933359781901,0.9853462179501852
2640000,1690079223.705592,-78.53091430664062,176.92667134602866,1.0
2664000,1690079681.9715567,-100.55528767903645,182.1433308919271,0.9743589758872986
2688000,1690080141.535566,-84.21311696370442,178.92333475748697,0.9929078022638956
2712000,1690080597.470258,-81.31046040852864,185.1699981689453,1.0
2736000,1690081055.9644086,-83.70634460449219,185.07333374023438,1.0
2760000,1690081506.2693396,-81.96572875976562,192.09333292643228,1.0
2784000,1690081969.0165746,-80.21814982096355,181.36333211263022,0.9930555621782938
2808000,1690082444.2044542,-76.54310099283855,173.8000030517578,0.9918699264526367
2832000,1690082911.4147637,-79.57401529947917,175.25333658854166,1.0
2856000,1690083367.4280694,-82.6495590209961,184.7300008138021,1.0
2880000,1690083837.4684544,-82.52149709065755,179.42999776204428,0.9927536249160767
2904000,1690084306.6138039,-76.61145782470703,173.65999857584634,1.0
2928000,1690084765.771958,-79.77411397298177,180.16333516438803,1.0
2952000,1690085215.942208,-75.4956283569336,194.3600056966146,1.0
2976000,1690085684.9714549,-77.23647816975911,172.15333557128906,1.0
3000000,1690086141.7093027,-82.26238505045573,185.46333821614584,1.0
3024000,1690086459.483939,-66.49056243896484,177.89999389648438,1.0
