step,wall_time,rollout/ep_env_rew_mean,rollout/ep_len_mean,rollout/n_goal_reached
24000,1690035988.808405,-994.09375,1000.0,0.0
48000,1690036215.2213821,-947.0625,1000.0,0.0
72000,1690036484.9009726,-915.71875,1000.0,0.0
96000,1690036757.1157045,-930.84375,1000.0,0.0
120000,1690037027.5694904,-920.3125,1000.0,0.0
144000,1690037303.9774463,-869.5625,1000.0,0.0
168000,1690037584.8386047,-864.9166666666666,990.3099975585938,0.041666666666666664
192000,1690037869.554118,-737.40625,990.3099975585938,0.0
216000,1690038156.9684212,-792.59375,990.3099975585938,0.0
240000,1690038438.8951788,-936.96875,990.3099975585938,0.0
264000,1690038722.9115193,-850.9166666666666,990.2699991861979,0.041666666666666664
288000,1690039019.7266738,-713.839111328125,970.3499755859376,0.07407407462596893
312000,1690039312.866176,-856.09375,970.3499755859376,0.0
336000,1690039610.4246938,-685.1689860026041,960.4199829101562,0.03703703731298447
360000,1690039906.9721806,-751.4942220052084,963.6033121744791,0.03703703731298447
384000,1690040205.0791137,-681.40625,976.8066609700521,0.0
408000,1690040502.8698282,-764.6898193359375,976.7999877929688,0.03703703731298447
432000,1690040807.7668087,-731.1817220052084,955.0433349609375,0.15277778108914694
456000,1690041122.151721,-636.09375,950.8066609700521,0.0
480000,1690041436.6752033,-686.7257080078125,940.1733194986979,0.14814815173546472
504000,1690041757.6018848,-805.9791666666666,922.5199991861979,0.03703703731298447
528000,1690042081.8683567,-560.2557779947916,952.2466634114584,0.03703703731298447
552000,1690042409.577286,-399.8981526692708,947.9666748046875,0.1111111119389534
576000,1690042732.8644993,-507.71875,959.0266723632812,0.0
600000,1690043059.7784684,-415.23032633463544,970.6799926757812,0.03703703731298447
624000,1690043387.776683,-386.15277099609375,956.4000040690104,0.07407407462596893
648000,1690043731.3887436,-260.7423604329427,860.4466756184896,0.6750000019868215
672000,1690044082.7686245,-302.0787048339844,722.0699869791666,0.4333333472410838
696000,1690044435.7006931,-215.59102884928384,603.4533487955729,0.8566276828447977
720000,1690044849.0170794,-151.12288411458334,371.6800028483073,0.9895833333333334
744000,1690045267.9160187,-140.3804194132487,275.93333943684894,0.9533028801282247
768000,1690045692.3504765,-137.18951416015625,273.9833272298177,0.9781361818313599
792000,1690046116.8415728,-148.60459899902347,287.3833312988281,0.9866666595141093
816000,1690046560.7953718,-140.5155792236328,245.51666768391928,1.0
840000,1690046997.919367,-93.07797495524089,241.07333374023438,0.972580631573995
864000,1690047405.5299082,-167.92240142822266,299.7099914550781,0.8880844712257385
