step,wall_time,rollout/ep_env_rew_mean,rollout/ep_len_mean,rollout/n_goal_reached
8000,1690035942.1312385,-999.0625,,0.0
16000,1690036028.3357286,-1000.0,1000.0,0.0
24000,1690036118.0178032,-753.71875,1000.0,0.0
32000,1690036206.628482,-998.875,1000.0,0.0
40000,1690036295.6122513,-906.25,1000.0,0.0
48000,1690036384.3438568,-966.34375,1000.0,0.0
56000,1690036472.9253647,-923.96875,1000.0,0.0
64000,1690036563.9714596,-824.5,1000.0,0.0
72000,1690036654.8180315,-856.84375,1000.0,0.0
80000,1690036742.740927,-906.25,1000.0,0.0
88000,1690036832.9134758,-719.875,1000.0,0.0
96000,1690036923.0384102,-875.125,1000.0,0.0
104000,1690037013.4868934,-839.875,1000.0,0.0
112000,1690037102.709693,-981.625,1000.0,0.0
120000,1690037192.059211,-942.0625,1000.0,0.0
128000,1690037284.0431921,-906.25,1000.0,0.0
136000,1690037374.99007,-720.0625,1000.0,0.0
144000,1690037466.6591332,-868.1875,1000.0,0.0
152000,1690037557.9103582,-849.4375,1000.0,0.0
160000,1690037650.0588474,-906.25,1000.0,0.0
168000,1690037740.7715216,-905.3125,1000.0,0.0
176000,1690037832.6428213,-718.75,1000.0,0.0
184000,1690037925.6450138,-625.0,1000.0,0.0
192000,1690038018.2103589,-812.5,1000.0,0.0
200000,1690038107.7899332,-992.21875,1000.0,0.0
208000,1690038199.762328,-873.8125,1000.0,0.0
216000,1690038290.2912686,-892.65625,1000.0,0.0
224000,1690038383.8767147,-812.59375,1000.0,0.0
232000,1690038474.9300804,-1000.0,1000.0,0.0
240000,1690038568.2060425,-718.5625,1000.0,0.0
248000,1690038660.4474132,-605.40625,1000.0,0.0
256000,1690038752.8264492,-907.09375,1000.0,0.0
264000,1690038847.2417424,-627.90625,1000.0,0.0
272000,1690038941.572828,-686.96875,1000.0,0.0
280000,1690039034.3408592,-724.5625,1000.0,0.0
288000,1690039130.5811555,-600.625,1000.0,0.0
296000,1690039222.0715141,-821.875,1000.0,0.0
304000,1690039315.4246502,-496.75,1000.0,0.0
312000,1690039409.6986039,-754.5625,1000.0,0.0
320000,1690039503.6212826,-542.96875,1000.0,0.0
328000,1690039598.1729748,-533.40625,1000.0,0.0
336000,1690039692.8696315,-575.96875,1000.0,0.0
344000,1690039786.9807281,-795.71875,1000.0,0.0
352000,1690039878.8499985,-957.25,1000.0,0.0
360000,1690039975.5562277,-459.0625,1000.0,0.0
368000,1690040070.2510355,-692.0625,999.760009765625,0.0
376000,1690040167.7741127,-680.125,999.760009765625,0.0
384000,1690040263.3312986,-401.21875,999.760009765625,0.0
392000,1690040359.616644,-674.125,999.760009765625,0.0
400000,1690040456.4857082,-645.90625,999.760009765625,0.0
408000,1690040553.386631,-481.84375,999.760009765625,0.0
416000,1690040650.085593,-485.21875,999.760009765625,0.0
424000,1690040748.5951548,-408.625,999.760009765625,0.0
432000,1690040844.2385204,-581.5,999.760009765625,0.0
440000,1690040943.6422074,-454.65625,995.4600219726562,0.125
448000,1690041040.0223033,-492.8125,995.4600219726562,0.0
456000,1690041138.7889643,-466.28125,995.4600219726562,0.0
464000,1690041238.8940222,-517.8125,993.1599731445312,0.125
472000,1690041336.5471451,-622.5625,993.4000244140625,0.0
480000,1690041433.1865647,-406.1875,993.4000244140625,0.0
488000,1690041532.033517,-500.03125,993.4000244140625,0.0
496000,1690041629.0001698,-533.40625,993.4000244140625,0.0
504000,1690041727.691952,-345.4375,993.4000244140625,0.0
512000,1690041826.1701212,-347.21875,993.4000244140625,0.0
520000,1690041923.341857,-600.15625,993.4000244140625,0.0
528000,1690042023.89875,-281.90625,985.5700073242188,0.125
536000,1690042126.3659713,-333.15625,985.5700073242188,0.0
544000,1690042227.9132042,-393.625,989.8699951171875,0.0
552000,1690042327.0461388,-308.5,989.8699951171875,0.0
560000,1690042425.7767496,-299.40625,989.8699951171875,0.0
568000,1690042526.1448793,-371.21875,992.1699829101562,0.0
576000,1690042624.6325457,-306.625,992.1699829101562,0.0
584000,1690042724.0064824,-315.8125,992.1699829101562,0.0
