step,wall_time,rollout/ep_env_rew_mean,rollout/ep_len_mean,rollout/n_goal_reached
8000,1690035944.1067939,-998.125,,0.0
16000,1690036033.5100155,-990.0625,1000.0,0.0
24000,1690036125.3336294,-856.75,1000.0,0.0
32000,1690036215.8042748,-994.5625,1000.0,0.0
40000,1690036304.5262425,-989.875,1000.0,0.0
48000,1690036395.1590364,-904.75,1000.0,0.0
56000,1690036484.7775936,-906.34375,1000.0,0.0
64000,1690036574.7662876,-936.0625,1000.0,0.0
72000,1690036667.5513077,-906.25,1000.0,0.0
80000,1690036757.3881733,-886.375,1000.0,0.0
88000,1690036846.4076328,-999.90625,1000.0,0.0
96000,1690036935.8809242,-953.78125,1000.0,0.0
104000,1690037028.0874374,-906.25,1000.0,0.0
112000,1690037118.7401097,-900.90625,1000.0,0.0
120000,1690037211.8688128,-811.65625,1000.0,0.0
128000,1690037303.7062337,-973.375,1000.0,0.0
136000,1690037396.3572922,-823.65625,1000.0,0.0
144000,1690037489.2121935,-782.0625,990.3099975585938,0.125
152000,1690037584.9990194,-906.25,990.3099975585938,0.0
160000,1690037680.304601,-906.4375,990.3099975585938,0.0
168000,1690037773.575906,-906.25,990.3099975585938,0.0
176000,1690037869.0353286,-718.75,990.3099975585938,0.0
184000,1690037966.0511189,-587.21875,990.3099975585938,0.0
192000,1690038061.415881,-648.8125,990.3099975585938,0.0
200000,1690038157.2723188,-949.46875,990.3099975585938,0.0
208000,1690038252.2170641,-779.5,990.3099975585938,0.0
216000,1690038344.9538298,-1000.0,990.3099975585938,0.0
224000,1690038439.2919357,-810.90625,990.3099975585938,0.0
232000,1690038532.439771,-1000.0,990.3099975585938,0.0
240000,1690038627.0975878,-897.34375,990.3099975585938,0.0
248000,1690038722.7557456,-760.78125,990.25,0.125
256000,1690038818.8812246,-894.625,990.25,0.0
264000,1690038920.4002464,-611.111083984375,970.3499755859375,0.2222222238779068
272000,1690039020.4278185,-717.90625,970.3499755859375,0.0
280000,1690039118.3519566,-812.5,970.3499755859375,0.0
288000,1690039216.2469397,-755.78125,970.3499755859375,0.0
296000,1690039313.0264876,-906.25,970.3499755859375,0.0
304000,1690039409.3251011,-906.25,970.3499755859375,0.0
312000,1690039511.429572,-722.4444580078125,960.4199829101562,0.1111111119389534
320000,1690039610.9734924,-625.0,960.4199829101562,0.0
328000,1690039708.8710167,-708.0625,960.4199829101562,0.0
336000,1690039807.4127471,-718.75,960.4199829101562,0.0
344000,1690039907.4356487,-906.34375,970.1699829101562,0.0
352000,1690040006.0681458,-629.388916015625,960.219970703125,0.1111111119389534
360000,1690040105.6391509,-625.09375,970.1799926757812,0.0
368000,1690040204.803696,-700.375,980.1199951171875,0.0
376000,1690040304.7944937,-718.75,980.1199951171875,0.0
384000,1690040403.4890976,-843.53125,980.1199951171875,0.0
392000,1690040503.8336208,-732.34375,980.1199951171875,0.0
400000,1690040601.286766,-718.1944580078125,970.1599731445312,0.1111111119389534
408000,1690040703.2183952,-611.96875,970.1500244140625,0.125
416000,1690040806.9123604,-702.888916015625,947.489990234375,0.3333333432674408
424000,1690040913.169671,-878.6875,947.489990234375,0.0
432000,1690041018.475401,-667.5625,947.489990234375,0.0
440000,1690041122.0596616,-454.84375,947.489990234375,0.0
448000,1690041225.9201005,-785.875,957.4400024414062,0.0
456000,1690041330.2994204,-675.638916015625,947.489990234375,0.1111111119389534
464000,1690041435.8767312,-892.09375,947.489990234375,0.0
472000,1690041543.8494585,-492.4444580078125,925.5399780273438,0.3333333432674408
480000,1690041651.5391073,-587.25,919.2000122070312,0.1111111119389534
488000,1690041756.6486418,-907.75,919.2000122070312,0.0
496000,1690041864.6179054,-922.9375,929.1599731445312,0.0
504000,1690041972.1676922,-561.90625,939.0999755859375,0.0
512000,1690042082.1542423,-652.111083984375,958.8200073242188,0.1111111119389534
520000,1690042191.2831354,-466.75,958.8200073242188,0.0
528000,1690042300.9520805,-374.47222900390625,955.02001953125,0.1111111119389534
536000,1690042409.8093576,-371.75,947.1199951171875,0.1111111119389534
544000,1690042517.97042,-453.47222900390625,941.760009765625,0.1111111119389534
552000,1690042625.310466,-402.34375,951.7100219726562,0.0
560000,1690042732.8379421,-564.71875,951.7100219726562,0.0
568000,1690042840.44509,-556.09375,973.6599731445312,0.0
576000,1690042950.3659678,-340.97222900390625,970.6799926757812,0.1111111119389534
584000,1690043060.2722929,-459.0625,970.6799926757812,0.0
592000,1690043168.6971443,-445.65625,970.6799926757812,0.0
600000,1690043276.895132,-380.0555419921875,961.0599975585938,0.1111111119389534
608000,1690043388.1915438,-376.52777099609375,954.0700073242188,0.1111111119389534
616000,1690043498.243374,-401.875,954.0700073242188,0.0
624000,1690043611.2247422,-302.6875,928.6099853515625,0.4166666567325592
632000,1690043730.6380165,-209.38333129882812,867.3400268554688,0.7333333492279053
640000,1690043852.3034725,-270.15625,785.3900146484375,0.875
648000,1690043963.5051477,-363.72222900390625,769.719970703125,0.3333333432674408
656000,1690044086.0593503,-280.2638854980469,704.8900146484375,0.6666666865348816
664000,1690044198.7413762,-262.25,691.5999755859375,0.30000001192092896
672000,1690044308.3080418,-240.88888549804688,664.010009765625,0.7777777910232544
680000,1690044435.886733,-229.9342041015625,587.52001953125,0.8421052694320679
688000,1690044562.907305,-175.9499969482422,558.8300170898438,0.949999988079071
696000,1690044709.8094566,-163.7265625,453.30999755859375,0.96875
704000,1690044849.9950993,-160.80555725097656,361.69000244140625,1.0
712000,1690044987.2466824,-128.83653259277344,300.0400085449219,1.0
720000,1690045127.1114771,-128.7767791748047,274.6199951171875,0.9642857313156128
728000,1690045266.2008936,-170.9629669189453,280.510009765625,0.9259259104728699
736000,1690045410.435686,-121.4015121459961,272.6700134277344,0.9696969985961914
744000,1690045554.8739836,-150.94354248046875,278.79998779296875,0.9677419066429138
752000,1690045688.0859077,-129.375,274.5299987792969,1.0
760000,1690045834.0915387,-131.25,268.6199951171875,0.9666666388511658
768000,1690045968.4472473,-190.36000061035156,291.9200134277344,0.9599999785423279
776000,1690046118.07846,-115.79545593261719,286.1199951171875,1.0
784000,1690046263.9990108,-139.65834045410156,284.1099853515625,1.0
792000,1690046419.9934618,-120.46052551269531,244.02000427246094,1.0
800000,1690046559.6348343,-159.25,246.3300018310547,1.0
808000,1690046702.7578192,-141.83621215820312,246.1999969482422,1.0
816000,1690046858.574796,-93.42948913574219,243.3300018310547,1.0
824000,1690047003.3656943,-99.49193572998047,240.66000366210938,0.9677419066429138
832000,1690047131.817611,-86.3125,239.22999572753906,0.949999988079071
840000,1690047259.0053642,-172.9250030517578,275.17999267578125,0.800000011920929
848000,1690047409.3187892,-122.04412078857422,299.92999267578125,0.9411764740943909
856000,1690047548.2655709,-208.79808044433594,324.0199890136719,0.9230769276618958
864000,1690047696.222518,-144.9765625,294.0199890136719,0.96875
872000,1690047830.1444075,-119.96739196777344,270.8699951171875,1.0
880000,1690047969.672919,-141.76922607421875,302.3999938964844,0.8846153616905212
888000,1690048117.450199,-108.52941131591797,277.2699890136719,0.970588207244873
896000,1690048242.110925,-159.91250610351562,291.30999755859375,0.8999999761581421
904000,1690048377.4342854,-163.3958282470703,304.2900085449219,0.9166666865348816
912000,1690048517.4793065,-160.2142791748047,310.260009765625,0.9285714030265808
920000,1690048677.0516999,-94.73026275634766,300.8599853515625,1.0
928000,1690048822.6565533,-133.3046875,264.6700134277344,0.96875
936000,1690048978.2753656,-87.6025619506836,215.9600067138672,1.0
944000,1690049133.1739743,-108.53947448730469,226.86000061035156,1.0
952000,1690049283.4633586,-98.22856903076172,221.4499969482422,1.0
960000,1690049436.9004612,-85.73648834228516,213.19000244140625,1.0
968000,1690049592.1329682,-103.87837982177734,218.25,1.0
976000,1690049724.1781209,-140.4375,235.6300048828125,1.0
984000,1690049874.291193,-113.63970947265625,254.57000732421875,1.0
992000,1690050022.9890134,-92.64393615722656,256.1600036621094,1.0
1000000,1690050175.3301442,-133.4642791748047,235.75,0.9714285731315613
1008000,1690050329.4577496,-102.54729461669922,232.2899932861328,1.0
1016000,1690050470.659357,-92.01724243164062,235.92999267578125,1.0
1024000,1690050627.2816436,-110.14473724365234,226.85000610351562,0.9736841917037964
1032000,1690050780.4129658,-116.47142791748047,236.25999450683594,1.0
1040000,1690050935.7369287,-74.3974380493164,214.97000122070312,1.0
1048000,1690051092.6368258,-111.9459457397461,217.0500030517578,1.0
1056000,1690051240.4970582,-123.6048355102539,224.24000549316406,0.9677419066429138
1064000,1690051407.865023,-79.21739196777344,215.39999389648438,1.0
1072000,1690051556.420562,-90.2272720336914,216.64999389648438,1.0
1080000,1690051708.4291468,-130.770263671875,210.6999969482422,0.9459459185600281
1088000,1690051856.1571913,-97.00714111328125,227.52999877929688,1.0
1096000,1690052008.546977,-97.3223648071289,217.33999633789062,1.0
1104000,1690052164.0763214,-108.1351318359375,216.38999938964844,0.9729729890823364
1112000,1690052320.2991588,-101.59615325927734,210.8000030517578,1.0
1120000,1690052488.4778612,-90.74468231201172,196.67999267578125,0.978723406791687
1128000,1690052633.9830673,-93.25806427001953,196.4499969482422,1.0
1136000,1690052788.5458148,-138.6571502685547,216.27000427246094,0.9428571462631226
1144000,1690052937.7250373,-139.2109375,234.36000061035156,0.96875
1152000,1690053092.3147533,-115.86111450195312,237.38999938964844,0.9722222089767456
1160000,1690053251.944976,-82.39375305175781,218.2899932861328,1.0
1168000,1690053404.602932,-119.93181610107422,220.8300018310547,0.9696969985961914
1176000,1690053560.4339607,-163.0,231.66000366210938,0.9411764740943909
1184000,1690053733.0455341,-84.46739196777344,218.1300048828125,1.0
1192000,1690053896.0608797,-81.84146118164062,197.24000549316406,1.0
1200000,1690054052.5821705,-101.2357177734375,192.89999389648438,1.0
1208000,1690054204.3727562,-112.48529052734375,219.89999389648438,1.0
1216000,1690054365.390848,-84.00640869140625,219.8800048828125,1.0
1224000,1690054533.353159,-92.48295593261719,198.47000122070312,0.9772727489471436
1232000,1690054684.3243282,-96.15972137451172,205.89999389648438,1.0
1240000,1690054840.5095265,-101.69078826904297,208.72000122070312,0.9736841917037964
1248000,1690055004.058319,-98.24418640136719,206.32000732421875,0.9767441749572754
1256000,1690055154.111355,-86.38235473632812,201.0399932861328,1.0
1264000,1690055312.6014264,-96.57499694824219,204.55999755859375,1.0
1272000,1690055470.172986,-97.60134887695312,215.02000427246094,1.0
1280000,1690055622.9695055,-102.35416412353516,212.94000244140625,1.0
1288000,1690055787.7085218,-90.19767761230469,206.60000610351562,1.0
1296000,1690055951.270069,-93.7256088256836,197.80999755859375,1.0
1304000,1690056111.471227,-92.16216278076172,204.33999633789062,1.0
1312000,1690056274.5957289,-88.40853881835938,194.3000030517578,1.0
1320000,1690056442.581153,-91.9534912109375,203.1999969482422,1.0
1328000,1690056603.9901054,-78.83536529541016,195.75999450683594,1.0
1336000,1690056752.683459,-105.27205657958984,205.24000549316406,1.0
1344000,1690056917.4989793,-91.43292999267578,197.7100067138672,1.0
1352000,1690057075.2938519,-101.60526275634766,213.38999938964844,0.9736841917037964
1360000,1690057240.8892791,-86.89534759521484,196.32000732421875,1.0
1368000,1690057415.9185612,-73.19387817382812,174.94000244140625,1.0
1376000,1690057592.3360012,-73.88021087646484,165.2100067138672,1.0
1384000,1690057754.275183,-89.85713958740234,175.86000061035156,1.0
1392000,1690057925.8566787,-90.11170196533203,179.13999938964844,1.0
1400000,1690058080.560115,-90.09722137451172,181.89999389648438,1.0
1408000,1690058241.840684,-111.2874984741211,189.77999877929688,0.9750000238418579
1416000,1690058406.658745,-95.55232238769531,200.3300018310547,1.0
1424000,1690058566.8981922,-90.77381134033203,191.9199981689453,1.0
1432000,1690058732.2619488,-81.13372039794922,186.19000244140625,1.0
1440000,1690058907.3199704,-79.640625,180.42999267578125,1.0
1448000,1690059077.8918464,-82.2611083984375,175.97000122070312,1.0
1456000,1690059245.2834632,-73.72826385498047,177.47000122070312,1.0
1464000,1690059428.720169,-66.55288696289062,167.7100067138672,1.0
1472000,1690059589.555067,-85.8719482421875,166.80999755859375,1.0
1480000,1690059756.19201,-87.2202377319336,180.97999572753906,1.0
1488000,1690059924.1543915,-79.66666412353516,183.88999938964844,1.0
1496000,1690060078.9818637,-82.21154022216797,180.6199951171875,1.0
1504000,1690060242.1508157,-98.70833587646484,191.91000366210938,0.976190447807312
1512000,1690060408.255396,-88.01162719726562,188.88999938964844,1.0
1520000,1690060562.3458526,-95.0540542602539,195.9499969482422,1.0
1528000,1690060729.5659866,-83.84239196777344,195.17999267578125,1.0
1536000,1690060899.0307825,-73.19021606445312,179.07000732421875,1.0
1544000,1690061054.959223,-100.83552551269531,186.25999450683594,1.0
1552000,1690061223.5640523,-83.52222442626953,188.39999389648438,1.0
1560000,1690061373.7896821,-109.5,199.5399932861328,0.9736841917037964
1568000,1690061533.0870965,-88.1036605834961,195.0399932861328,1.0
1576000,1690061696.1128218,-77.39444732666016,193.72999572753906,1.0
1584000,1690061856.1313717,-92.31756591796875,194.91000366210938,1.0
1592000,1690062013.338106,-97.67142486572266,206.57000732421875,1.0
1600000,1690062185.187133,-92.01136016845703,205.1699981689453,0.9772727489471436
1608000,1690062349.4981816,-84.45833587646484,195.92999267578125,1.0
1616000,1690062524.7049196,-87.44021606445312,184.3000030517578,1.0
1624000,1690062683.346938,-92.09210205078125,194.3699951171875,1.0
1632000,1690062844.2319672,-89.26249694824219,196.1199951171875,1.0
1640000,1690062995.443877,-119.62857055664062,203.08999633789062,0.9714285731315613
1648000,1690063152.65386,-106.63194274902344,213.13999938964844,0.9722222089767456
1656000,1690063332.1459816,-82.82653045654297,197.07000732421875,1.0
1664000,1690063499.9799013,-76.19999694824219,171.52000427246094,1.0
1672000,1690063668.5082645,-80.83695983886719,173.64999389648438,1.0
1680000,1690063827.295326,-85.07926940917969,180.0800018310547,1.0
1688000,1690064000.1377895,-76.63829803466797,179.1699981689453,1.0
1696000,1690064169.5186727,-86.06521606445312,178.57000732421875,1.0
1704000,1690064326.2218525,-84.15625,185.7100067138672,1.0
1712000,1690064491.142584,-83.93452453613281,185.8800048828125,1.0
1720000,1690064657.867317,-89.44642639160156,190.9199981689453,1.0
1728000,1690064832.7070532,-69.45744323730469,187.07000732421875,1.0
1736000,1690064999.770282,-79.47777557373047,174.27000427246094,1.0
1744000,1690065155.385403,-101.71710205078125,183.02000427246094,0.9736841917037964
1752000,1690065328.5151043,-71.61734771728516,180.6699981689453,1.0
1760000,1690065491.8705578,-80.43333435058594,182.25,1.0
1768000,1690065657.6685686,-74.60106658935547,176.72999572753906,1.0
1776000,1690065818.8587902,-76.28191375732422,171.63999938964844,1.0
1784000,1690065969.7296476,-107.57499694824219,180.38999938964844,0.9750000238418579
1792000,1690066105.8683708,-146.0546875,207.97000122070312,0.9375
1800000,1690066261.7106817,-80.6220932006836,211.2100067138672,1.0
1808000,1690066417.0075035,-88.79069519042969,206.8699951171875,1.0
1816000,1690066574.0009022,-80.80813598632812,186.3800048828125,1.0
1824000,1690066729.0535953,-74.9772720336914,179.8300018310547,1.0
1832000,1690066884.6315854,-77.33695983886719,178.77999877929688,1.0
1840000,1690067031.8303154,-112.79605102539062,190.6999969482422,1.0
1848000,1690067189.1520894,-78.92021179199219,191.72000122070312,1.0
1856000,1690067335.668541,-100.97435760498047,189.52999877929688,0.9743589758872986
1864000,1690067487.5035832,-85.10713958740234,190.77000427246094,1.0
1872000,1690067644.4682598,-73.90555572509766,190.47000122070312,1.0
1880000,1690067799.4306304,-73.62222290039062,177.32000732421875,1.0
1888000,1690067940.4287918,-89.14375305175781,187.74000549316406,1.0
1896000,1690068069.2254353,-109.47115325927734,215.5500030517578,0.9230769276618958
1904000,1690068216.786453,-95.70121765136719,230.49000549316406,0.9756097793579102
1912000,1690068364.191288,-82.5526351928711,222.5800018310547,1.0
1920000,1690068528.8990958,-69.81500244140625,177.77000427246094,1.0
1928000,1690068690.028002,-77.09239196777344,176.50999450683594,1.0
1936000,1690068831.3733528,-92.22916412353516,184.52000427246094,1.0
1944000,1690068989.2499447,-76.10106658935547,192.60000610351562,1.0
1952000,1690069134.2555559,-85.40384674072266,187.74000549316406,1.0
1960000,1690069287.5254314,-87.46428680419922,189.1999969482422,1.0
1968000,1690069437.1704166,-99.17682647705078,193.75999450683594,1.0
1976000,1690069597.0295136,-97.68181610107422,200.44000244140625,0.9772727489471436
1984000,1690069765.744538,-61.97595977783203,170.72000122070312,1.0
1992000,1690069916.8086388,-83.26219177246094,164.72000122070312,1.0
2000000,1690070070.6706054,-89.52381134033203,185.02999877929688,1.0
2008000,1690070219.91187,-91.76875305175781,201.38999938964844,1.0
2016000,1690070363.7172592,-90.29054260253906,204.44000244140625,1.0
2024000,1690070505.1949522,-120.30714416503906,213.64999389648438,0.9714285731315613
2032000,1690070649.6862879,-98.92308044433594,214.74000549316406,0.9743589758872986
2040000,1690070797.157869,-91.15243530273438,209.0399932861328,1.0
2048000,1690070937.902029,-102.38571166992188,217.3699951171875,1.0
2056000,1690071087.085292,-86.0755844116211,209.6300048828125,1.0
2064000,1690071232.1085005,-91.83783721923828,203.52999877929688,1.0
2072000,1690071380.2045462,-89.4625015258789,207.47000122070312,1.0
