episode_time,animation_time
0.0,0.0
0.1,0.08
0.2,0.17
0.3,0.26
0.4,0.35
0.5,0.44
0.6,0.53
0.7,0.62
0.8,0.71
0.9,0.8
1.0,0.89
1.1,0.98
1.2,1.07
1.3,1.16
1.4,1.25
1.5,1.34
1.6,1.43
1.7,1.52
1.8,1.61
1.9,1.7
2.0,1.79
2.1,1.88
2.2,1.97
2.3,2.06
2.4,2.15
2.5,2.24
2.6,2.33
2.7,2.42
2.8,2.51
2.9,2.6
3.0,2.69
3.1,2.78
3.2,2.87
3.3,2.96
3.4,3.05
3.5,3.14
3.6,3.23
3.7,3.32
3.8,3.41
3.9,3.5
4.0,3.59
4.1,3.68
4.2,3.77
4.3,3.86
4.4,3.95
4.5,4.04
4.6,4.13
4.7,4.22
4.8,4.31
4.9,4.4
5.0,4.49
5.1,4.58
5.2,4.67
5.3,4.76
5.4,4.85
5.5,4.94
5.6,5.03
5.7,5.12
5.8,5.21
5.9,5.3
6.0,5.39
6.1,5.48
6.2,5.57
6.3,5.66
6.4,5.75
6.5,5.84
6.6,5.93
6.7,6.02
6.8,6.1
6.9,6.2
7.0,6.3
7.1,6.38
7.2,6.46
7.3,6.56
7.4,6.66
7.5,6.73
7.6,6.82
7.7,6.92
7.8,7.01
7.9,7.08
8.0,7.17
8.1,7.27
8.2,7.34
8.3,7.42
8.4,7.51
8.5,7.59
8.6,7.65
8.7,7.73
8.8,7.82
8.9,7.88
9.0,7.95
9.1,8.02
9.2,8.1
9.3,8.15
9.4,8.21
9.5,8.28
9.6,8.34
9.7,8.38
9.8,8.44
9.9,8.5
10.0,8.55
10.1,8.58
10.2,8.63
10.3,8.68
10.4,8.71
10.5,8.74
10.6,8.79
10.7,8.82
10.8,8.84
10.9,8.86
11.0,8.9
11.1,8.91
11.2,8.92
11.3,8.94
11.4,8.96
11.5,8.96
11.6,8.96
11.7,8.97
11.8,8.97
11.9,8.96
12.0,8.95
12.1,8.95
12.2,8.94
12.3,8.91
12.4,8.9
12.5,8.89
12.6,8.85
12.7,8.82
12.8,8.8
12.9,8.77
13.0,8.73
13.1,8.69
13.2,8.66
13.3,8.61
13.4,8.56
13.5,8.52
13.6,8.48
13.7,8.41
13.8,8.36
13.9,8.31
14.0,8.25
14.1,8.18
14.2,8.12
14.3,8.06
14.4,7.99
14.5,7.91
14.6,7.85
14.7,7.78
14.8,7.69
14.9,7.62
15.0,7.55
15.1,7.47
15.2,7.38
15.3,7.3
15.4,7.22
15.5,7.13
15.6,7.04
15.7,6.96
15.8,6.88
15.9,6.78
16.0,6.69
16.1,6.61
16.2,6.52
16.3,6.42
16.4,6.33
16.5,6.25
16.6,6.15
16.7,6.05
16.8,5.97
16.9,5.88
17.0,5.78
17.1,5.69
17.2,5.61
17.3,5.52
17.4,5.42
17.5,5.34
17.6,5.26
17.7,5.16
17.8,5.07
17.9,5.0
18.0,4.92
18.1,4.82
18.2,4.74
18.3,4.67
18.4,4.59
18.5,4.5
18.6,4.43
18.7,4.37
18.8,4.29
18.9,4.21
19.0,4.15
19.1,4.09
19.2,4.02
19.3,3.95
19.4,3.9
19.5,3.84
19.6,3.78
19.7,3.73
19.8,3.69
19.9,3.63
20.0,3.58
20.1,3.55
20.2,3.51
20.3,3.46
20.4,3.43
20.5,3.4
20.6,3.37
20.7,3.33
20.8,3.32
20.9,3.3
21.0,3.27
21.1,3.25
21.2,3.25
21.3,3.24
21.4,3.22
21.5,3.22
21.6,3.23
21.7,3.23
21.8,3.22
21.9,3.24
22.0,3.25
22.1,3.26
22.2,3.27
22.3,3.3
22.4,3.32
22.5,3.34
22.6,3.36
22.7,3.41
22.8,3.43
22.9,3.46
23.0,3.5
23.1,3.55
23.2,3.59
23.3,3.63
23.4,3.69
23.5,3.74
23.6,3.78
23.7,3.84
23.8,3.91
23.9,3.96
24.0,4.01
24.1,4.09
24.2,4.16
24.3,4.22
24.4,4.28
24.5,4.37
24.6,4.44
24.7,4.51
24.8,4.59
24.9,4.67
25.0,4.75
25.1,4.82
25.2,4.91
25.3,5.0
25.4,5.08
25.5,5.16
25.6,5.26
25.7,5.35
25.8,5.42
25.9,5.52
26.0,5.62
26.1,5.7
26.2,5.78
26.3,5.88
26.4,5.98
26.5,6.06
26.6,6.15
26.7,6.25
26.8,6.34
26.9,6.42
27.0,6.52
27.1,6.62
27.2,6.7
27.3,6.78
27.4,6.88
27.5,6.97
27.6,7.05
27.7,7.13
27.8,7.23
27.9,7.31
28.0,7.38
28.1,7.46
28.2,7.55
28.3,7.62
28.4,7.69
28.5,7.78
28.6,7.86
28.7,7.92
28.8,7.98
28.9,8.06
29.0,8.13
29.1,8.18
29.2,8.25
29.3,8.32
29.4,8.36
29.5,8.41
29.6,8.47
29.7,8.53
29.8,8.57
29.9,8.61
