step,animation_time
0,0
1,5
2,11
3,17
4,23
5,29
6,35
7,41
8,47
9,53
10,59
11,65
12,71
13,77
14,83
15,89
16,95
17,101
18,107
19,113
20,119
21,125
22,131
23,137
24,143
25,149
26,155
27,161
28,167
29,173
30,179
31,185
32,191
33,197
34,203
35,209
36,215
37,221
38,227
39,233
40,239
41,245
42,251
43,257
44,263
45,269
46,275
47,281
48,287
49,293
50,299
51,305
52,311
53,317
54,323
55,329
56,335
57,341
58,347
59,353
60,359
61,365
62,371
63,377
64,383
65,389
66,395
67,401
68,407
69,413
70,419
71,425
72,431
73,437
74,443
75,449
76,455
77,461
78,467
79,473
80,479
81,485
82,491
83,497
84,503
85,509
86,515
87,520
88,526
89,532
90,536
91,542
92,549
93,553
94,559
95,565
96,570
97,575
98,581
99,587
100,591
101,597
102,603
103,607
104,613
105,619
106,623
107,628
108,634
109,638
110,642
111,648
112,653
113,657
114,662
115,667
116,671
117,675
118,681
119,684
120,688
121,693
122,697
123,700
124,705
125,709
126,712
127,716
128,720
129,723
130,726
131,730
132,733
133,736
134,740
135,743
136,744
137,748
138,751
139,752
140,755
141,758
142,760
143,761
144,764
145,766
146,766
147,769
148,771
149,771
150,773
151,775
152,775
153,775
154,777
155,778
156,777
157,779
158,779
159,778
160,779
161,780
162,779
163,778
164,779
165,778
166,777
167,777
168,776
169,774
170,774
171,773
172,771
173,769
174,769
175,766
176,764
177,763
178,761
179,758
180,757
181,755
182,751
183,749
184,747
185,744
186,740
187,739
188,735
189,731
190,729
191,726
192,721
193,718
194,715
195,711
196,707
197,704
198,699
199,695
200,692
201,687
202,682
203,678
204,674
205,669
206,665
207,661
208,655
209,650
210,646
211,641
212,635
213,631
214,626
215,620
216,616
217,611
218,605
219,600
220,595
221,589
222,583
223,579
224,573
225,567
226,562
227,557
228,551
229,545
230,541
231,534
232,528
233,524
234,518
235,511
236,507
237,501
238,495
239,490
240,485
241,478
242,473
243,468
244,462
245,456
246,452
247,446
248,440
249,435
250,430
251,424
252,419
253,415
254,409
255,403
256,399
257,394
258,388
259,384
260,380
261,374
262,369
263,365
264,360
265,355
266,352
267,347
268,342
269,339
270,335
271,330
272,326
273,323
274,318
275,315
276,312
277,308
278,304
279,301
280,298
281,294
282,292
283,289
284,285
285,283
286,281
287,278
288,275
289,273
290,271
291,268
292,267
293,265
294,262
295,261
296,260
297,258
298,256
299,256
300,255
301,253
302,253
303,252
304,251
305,251
306,251
307,250
308,250
309,251
310,250
311,250
312,251
313,251
314,251
315,252
316,253
317,253
318,255
319,257
320,257
321,258
322,261
323,262
324,263
325,265
326,268
327,269
328,271
329,274
330,276
331,278
332,282
333,284
334,286
335,290
336,293
337,295
338,299
339,302
340,305
341,308
342,313
343,316
344,319
345,324
346,328
347,331
348,336
349,340
350,343
351,348
352,353
353,357
354,361
355,367
356,371
357,375
358,381
359,386
360,390
361,395
362,401
363,405
364,410
365,416
366,421
367,425
368,432
369,437
370,441
371,448
372,453
373,458
374,464
375,470
376,474
377,480
378,486
