step,mean,std,bootstrap025,bootstrap975
120000.0,-1927.3366271450986,846.6559206874097,-2170.1959051993,-1635.9311350743853
144000.0,-2133.8215148925783,553.3660130749867,-2306.440299102286,-1969.980102713429
168000.0,-2212.048262023926,512.7048520355951,-2364.016935803298,-2051.1085873492307
192000.0,-2202.9878840128576,484.25426252297893,-2344.519935713172,-2043.1472004056695
216000.0,-2255.8565673828125,507.0934484718469,-2403.7420224663842,-2090.2062664546975
240000.0,-2368.9741948445635,440.8938237310229,-2498.146624276751,-2219.558055933264
264000.0,-2464.1790461222326,361.7072844276188,-2569.9865393487476,-2348.0628896517196
288000.0,-2393.8009963989257,478.9123085760752,-2522.6279134749,-2223.2962038930614
312000.0,-2337.1798929850256,497.21085418743564,-2470.721015217116,-2161.7517190618696
336000.0,-2398.446666971842,474.38359191127535,-2519.713980978861,-2212.2873476756727
360000.0,-2346.4938954671225,548.3916564944236,-2496.3604165940174,-2149.4507649379175
384000.0,-2281.7294036865233,557.61503044638,-2437.7506976290524,-2088.8149616334817
408000.0,-2307.1633260091144,575.2169063412812,-2465.6689489901682,-2101.3297760051114
432000.0,-2315.9460311889648,578.7182548910132,-2472.707736191705,-2120.6358612087347
456000.0,-2311.204128011068,572.7031777321657,-2468.0619407000654,-2111.2638170795276
480000.0,-2361.1126922607423,481.0436465604275,-2495.9133546267917,-2193.279979886826
504000.0,-2424.72841796875,441.0114226299961,-2544.047926144797,-2266.999286788442
528000.0,-2407.6624079386393,453.98732036297935,-2531.7200645628377,-2249.2653857128325
552000.0,-2508.963335673014,354.7399095095998,-2606.1860127006576,-2385.188642834375
576000.0,-2538.995646158854,314.2929895666777,-2631.2780747996717,-2435.000890009242
600000.0,-2454.3764221191404,347.50963832846105,-2554.495216331955,-2337.1869637883688
624000.0,-2403.287311808268,368.7182822557199,-2509.416861656601,-2282.6841601663355
648000.0,-2360.0337961832684,362.9011947415515,-2468.6239580824345,-2243.060030892863
672000.0,-2274.351272074381,443.56215983634206,-2400.80847372194,-2125.6429451906574
