step,mean,std,bootstrap025,bootstrap975
120000.0,-2018.9794702774439,851.1792545108755,-2251.318140990475,-1716.9536159185986
144000.0,-2258.0130177815754,542.2137584085741,-2416.2374887736946,-2084.1830422590124
168000.0,-2287.124217224121,545.5087183224043,-2444.1928547456423,-2108.2957619746394
192000.0,-2226.3269892374674,512.0888206244424,-2377.0321396728973,-2060.155205804393
216000.0,-2270.151545715332,526.3765650240798,-2427.076738573841,-2094.439012772357
240000.0,-2355.8645874023437,511.3593542101988,-2500.3842029140264,-2180.443898865818
264000.0,-2359.4342442830407,534.9611159527439,-2512.41303730308,-2172.5726575196622
288000.0,-2412.3168716430664,522.7867568743272,-2561.557334275127,-2231.2124997660367
312000.0,-2364.965190378825,527.8432306194612,-2516.78270516188,-2182.754627800885
336000.0,-2307.7591442108155,545.9688482026423,-2465.197864702353,-2121.9065628398635
360000.0,-2403.4346782684324,504.35090959428305,-2544.263564640666,-2226.5997295402767
384000.0,-2359.431948979696,510.07678063387743,-2506.551870752549,-2190.269629648317
408000.0,-2344.519602076213,511.8369830765022,-2489.9083749063057,-2173.369319148534
432000.0,-2385.1199530283607,503.79655509714524,-2527.7444017328075,-2217.437714789324
456000.0,-2402.2749090830484,488.74511263927985,-2538.1085562027147,-2235.5977547775465
480000.0,-2368.7611685434977,477.14810296427754,-2503.191096959373,-2202.8217054647703
504000.0,-2366.610599644979,487.16867405896625,-2508.5642728121934,-2204.5513337589173
528000.0,-2437.0351725260416,438.70383563090303,-2563.4438796021045,-2290.0932378202947
552000.0,-2397.9536616007485,430.183880294136,-2521.416291547497,-2255.048746624069
576000.0,-2475.924523417155,418.19164564575317,-2590.7676069306167,-2332.6725980752494
600000.0,-2528.2887914021812,421.20692914182064,-2645.6254758804776,-2384.3031326217474
624000.0,-2453.5716921488442,424.6647888224014,-2576.9286796308065,-2310.457102488637
648000.0,-2359.644608306885,507.2440398673208,-2502.335712916164,-2188.4640393338664
672000.0,-2269.770382944743,526.147857817404,-2424.3970632067667,-2096.546966143841
