step,mean,std,bootstrap025,bootstrap975
120000.0,-859.9221468607586,72.32678091589074,-882.0333914390317,-837.1883010551676
144000.0,-847.0602256774903,60.28306781632436,-863.8419716407448,-826.5829337681413
168000.0,-849.8123090108236,62.48948343254501,-867.3203595991365,-828.3420260858244
192000.0,-838.0319674173992,63.580804395673916,-856.2473742382069,-817.0169255153321
216000.0,-815.3351666768392,77.34549216925222,-838.2014744580848,-790.8062202510679
240000.0,-809.8787422180176,82.43903542092798,-834.124625618728,-782.7048304269247
264000.0,-793.9432268778484,101.7211568025691,-823.8359291016866,-761.2684975270098
288000.0,-777.4387733459473,103.48031022819134,-808.8426429092017,-745.3635407056017
312000.0,-766.9367823282878,116.25328835749195,-801.0926037849604,-728.2587973252481
336000.0,-754.7009610493978,114.63090484105865,-789.2683561572243,-717.8476901867375
360000.0,-731.7544166564942,103.74995220885046,-763.0891930896069,-699.7263993159326
384000.0,-717.5478660583497,115.47661165786371,-752.2218930805179,-681.1091965371592
408000.0,-719.3230641682943,124.45574170984732,-756.6380264788444,-680.6875374480204
432000.0,-704.977492014567,130.30988345043602,-743.4925976413614,-663.1972865043198
456000.0,-703.7244247436523,133.48352731342956,-742.5852545981573,-661.4895925561532
480000.0,-692.2161310831705,139.7856116731376,-735.1562543185358,-648.6633973172916
504000.0,-689.7723215738932,150.27928947748902,-734.2033558786201,-640.1737109304676
528000.0,-658.1573384602864,161.07174307999531,-706.451466252709,-604.9501157406228
552000.0,-638.7573209126791,168.82188197277287,-691.2874611414346,-585.9707041204008
576000.0,-617.757792409261,174.68422883077164,-670.6951563537385,-563.693930872156
600000.0,-587.8126134236654,179.13394902181227,-642.8095869867292,-532.4237492810785
624000.0,-551.5719467163086,172.9551463878655,-603.8991935278376,-497.087628934023
648000.0,-525.7267707824707,167.45258260788336,-578.1001464923809,-474.07982350272493
672000.0,-498.304647954305,161.82642785706295,-548.8814487193599,-448.2159893340484
696000.0,-457.5490071614584,153.22110772785854,-506.7511743730425,-410.8930572857212
720000.0,-439.76669120788574,147.20250059752874,-486.8448838084812,-395.92275152371656
744000.0,-415.21508089701337,135.7729477078016,-459.2755173682059,-375.4975864857534
768000.0,-394.803013865153,129.31743634244614,-436.54115067934356,-353.84375812927067
792000.0,-372.56935335795083,125.04392639800933,-410.95522187219944,-333.5432526238764
816000.0,-354.3065960566203,126.21153672119775,-392.43755367585413,-315.16963065225195
840000.0,-323.97247206370037,123.62711199635604,-362.19554059884786,-285.4407964065355
864000.0,-297.16284796396894,119.46498778705312,-334.793438011091,-260.7137764722567
888000.0,-283.5898021697998,124.75694998236611,-323.8021911538291,-245.65649294673068
912000.0,-260.4966135660808,122.5703957214047,-300.7044217387345,-224.5844345362145
936000.0,-236.67496585845947,113.91109822772282,-274.987552637976,-204.09422057694184
960000.0,-219.53215262095136,105.56778730023387,-255.48734599917353,-189.8692675025693
984000.0,-206.98767414093018,98.90609162227236,-239.97152449295274,-179.06218321444615
1008000.0,-193.79380486806235,92.04362217456749,-225.16280825515756,-167.65990971152326
1032000.0,-188.91997572580973,90.2539996123805,-219.57808131739486,-163.5649549395934
1056000.0,-183.37641887664796,90.33135120838456,-214.4832959570875,-157.6852767754181
1080000.0,-182.14695173899332,90.66549680903053,-213.5273334132242,-157.26993489864185
1104000.0,-180.89940490722657,93.45136786998368,-213.5241437201008,-155.17702941299217
1128000.0,-179.27769457499187,94.66668236027887,-211.1020067188946,-152.35935424742965
1152000.0,-173.09582106272381,89.834354654635,-205.13590202906715,-149.2333611360352
1176000.0,-167.28543497721355,87.96978181306993,-199.0370721183825,-144.21105516916506
1200000.0,-166.61146863301596,92.13706156166091,-199.85589313703795,-141.65914740972195
1224000.0,-162.57855008443198,91.43566915613471,-194.72730748396552,-137.9442913035615
1248000.0,-158.86520500183104,90.02365498996063,-191.12067308036922,-135.30060384579937
1272000.0,-152.85195967356364,87.59181575018935,-185.24236828494327,-129.58160516776547
1296000.0,-147.0767779032389,80.51576640750994,-177.01000812828087,-126.09799750241275
1320000.0,-145.06572539011637,79.80672715159226,-175.43198424311754,-124.75124677370889
1344000.0,-143.06956570943197,79.48777097647087,-172.8865520496698,-122.37084554426211
1368000.0,-144.11645565032958,77.87127589726171,-172.88818647796452,-123.33323335629854
1392000.0,-137.94673334757488,68.88253827289172,-164.497262735843,-119.81398497880295
1416000.0,-135.07017765045165,65.52546379065221,-158.9848251711143,-117.28139654150871
1440000.0,-135.20103174845377,64.41340330099004,-159.36854320887196,-117.9719784721825
1464000.0,-130.62040004730224,61.718563284753216,-154.27797024289376,-114.34534459209536
1488000.0,-127.72760060628256,58.28596992767851,-150.97033123761204,-112.86216150655586
1512000.0,-121.65447998046875,48.80818052474686,-140.13934347053097,-109.01616738387145
1536000.0,-117.09307231903077,42.46548349845715,-133.49697342358036,-106.38564129367232
1560000.0,-110.15954195658367,35.41897281546463,-124.86065470229502,-101.71019031357481
1584000.0,-108.17948220570884,34.26524082354872,-121.98536308810496,-99.78371601362707
1608000.0,-104.78051694234213,26.546870644752186,-116.08321299163616,-98.4207245840057
1632000.0,-100.18222204844157,16.848546096134182,-105.81022770260195,-95.44786896825849
1656000.0,-99.1343313217163,16.567775958167953,-104.94052520470767,-94.6097847830372
1680000.0,-96.84246457417805,14.398667320243783,-102.03224130369328,-92.92739194394441
1704000.0,-95.74813798268636,11.792138247523942,-99.72345515153975,-92.31026021021167
1728000.0,-94.894721921285,11.725586162893695,-98.83506418879894,-91.49592073451286
1752000.0,-94.71066188812256,10.63819566135322,-98.1348373050385,-91.47494870680723
1776000.0,-94.28550141652424,10.829113944111743,-97.82474078903321,-91.16501705465375
1800000.0,-94.0067118326823,10.535677750004696,-97.53571157028428,-90.98045364608495
1824000.0,-93.21711940765381,9.480473729436627,-96.5248981268047,-90.67200359951066
1848000.0,-93.81755015055339,9.668960556528246,-97.10164652431858,-91.09842092733246
1872000.0,-93.04902451833088,9.367027969118915,-96.40936925925024,-90.50993911731703
1896000.0,-92.97923545837402,8.720383944630992,-96.11091786255793,-90.5907368110158
1920000.0,-92.39342606862385,8.477885898902663,-95.46057111758567,-90.17504132066823
1944000.0,-91.88909320831299,8.202734708680241,-94.96942319693743,-89.74179290388592
1968000.0,-90.69777603149414,7.393160237438504,-93.22245584937386,-88.54817398941181
1992000.0,-90.58421306610107,7.194121853224111,-92.84849738758508,-88.34556066294229
2016000.0,-90.25374050140381,7.39493985534621,-92.48225267984266,-87.95614739085495
2040000.0,-90.38196875254314,8.710688960272163,-93.3979887680854,-87.90642099961565
2064000.0,-90.28110478719074,8.813240470758652,-93.29410778180757,-87.77159844751085
2088000.0,-90.31044508616131,9.143733653662757,-93.38148020726206,-87.66657386875467
2112000.0,-90.1317928314209,9.635959027503828,-93.34684799119267,-87.40781989629785
2136000.0,-90.32043212254843,10.183582016627668,-93.63038098736604,-87.29599468736534
2160000.0,-90.32553548812866,10.496541602090655,-93.76290846999075,-87.22277736959273
2184000.0,-89.93470754623414,10.621691161110437,-93.36630444995599,-86.7618880340428
2208000.0,-90.51096461613972,10.9177633894972,-94.05949993252305,-87.37655580460063
2232000.0,-89.1209823290507,9.695476164389875,-92.25153658993324,-86.23666893593278
2256000.0,-89.21811507542928,10.039458974022509,-92.49527902300711,-86.2144555359661
2280000.0,-88.60137192408244,9.537445216326237,-91.67065568157854,-85.84047624194251
2304000.0,-88.40497929255167,9.084997261534014,-91.34307425812243,-85.81812693812904
2328000.0,-87.61687444051107,8.388542967296551,-90.4871227136349,-85.25746725685275
2352000.0,-89.09856122334799,9.209732497979033,-92.38886224333051,-86.5608490825875
2376000.0,-88.6918010075887,8.54497666327255,-91.7147147609722,-86.43820163113745
2400000.0,-88.09789059956869,8.243082514873107,-91.01134239037094,-85.86385549205221
2424000.0,-87.97095311482748,8.175137893666584,-90.97320264639825,-85.73715048429767
2448000.0,-88.05544662475586,9.220115882894758,-91.65713919353696,-85.70090348837687
2472000.0,-88.39647941589355,10.07708826244566,-92.06225881170947,-85.55429602028975
