step,mean,std,bootstrap025,bootstrap975
120000.0,-731.5461006164551,96.18788103367508,-762.3393609713318,-702.9439520936774
144000.0,-706.2726875305176,80.67919248851769,-732.6795183370998,-682.5307603223205
168000.0,-719.9904808044433,75.73458038232228,-745.0429797460018,-697.8879846738738
192000.0,-703.3720420837402,69.67306042596331,-724.948962166976,-681.4444755631924
216000.0,-707.4913322448731,67.94435804181717,-728.0440505272854,-685.4497103188855
240000.0,-712.7477139790852,72.81955941754977,-735.4678453959134,-690.3953840651367
264000.0,-717.5877858479819,82.5731314895678,-741.96498876429,-690.767421087127
288000.0,-700.1270551045735,90.60025611765256,-728.0924849475534,-671.6995378964895
312000.0,-700.9349232991538,97.70680586545986,-730.569125968824,-669.9014573928212
336000.0,-682.652047475179,110.22910692741097,-715.3510895201664,-647.399089613113
360000.0,-670.4796244303386,113.76868235257797,-705.781785876244,-635.3569100534585
384000.0,-652.5470059712727,127.9811705947356,-691.7483139733957,-612.4170395810874
408000.0,-625.934049987793,130.57948252109088,-666.74300822228,-585.5870287631459
432000.0,-598.3749715169272,122.36426955853527,-637.0251875936415,-562.0372963634596
456000.0,-566.4907272338867,111.12546258486454,-602.9920303149468,-533.8686781730336
480000.0,-556.1252354939778,114.62977284943433,-594.1068769520724,-521.5484898878175
504000.0,-549.2332066853841,108.70227890964446,-584.6620693862282,-516.9196252958984
528000.0,-549.8218676249186,114.03888100963069,-585.6208053068597,-515.5348951639915
552000.0,-545.6869199117025,113.94294365186971,-583.8834010637777,-511.41418680570916
576000.0,-554.9814994812011,114.12515076594606,-591.0873157501492,-519.8695994684333
600000.0,-549.3315945943198,116.58668595908472,-585.6265270775247,-513.7088766937927
624000.0,-552.0410242716471,118.5485744556509,-588.9609589013207,-514.5964108494412
648000.0,-564.2530156453452,116.80694136951155,-599.3989136576889,-527.6230126350425
672000.0,-573.1474140167236,121.86618335179581,-611.8953586442168,-536.5137032794802
696000.0,-565.2618620554607,118.58204339617555,-604.7114169081166,-530.7130670653111
720000.0,-574.4878208160401,119.15542285385155,-612.5435322427228,-539.0048582668776
744000.0,-566.5809363047282,119.08354990614197,-605.3535792343013,-531.4081821430415
768000.0,-557.9094160715738,116.4092994560079,-597.4558318868741,-524.1518885120454
792000.0,-569.0354989369711,117.58670621460617,-608.8694084267908,-535.667511236427
816000.0,-564.7022876739502,121.97024151021414,-604.6010054232898,-528.3980635941833
840000.0,-563.2219071706137,123.75617757051262,-604.1765750416541,-526.1636417978859
864000.0,-547.2155296325684,117.20317522732493,-584.7185539958914,-512.2043819651799
888000.0,-536.3304039001465,124.80393726161512,-576.8934802546537,-498.93632718954063
912000.0,-520.4217193603515,124.19678490790108,-559.3579593418682,-482.3289550673948
936000.0,-516.5843523661296,120.85196740969813,-554.5596205215345,-481.10486313685675
960000.0,-503.4437602996826,128.17212908735542,-545.5363207220001,-465.4558823776499
984000.0,-484.5881097157797,122.67170848229043,-525.1132455382341,-448.3941605373697
1008000.0,-472.9757799784343,117.7159687876765,-512.5109455125486,-439.01982259204556
1032000.0,-454.00431327819825,114.7047204216472,-491.53910198746985,-420.45065232037774
1056000.0,-446.6104817708334,119.16041372367177,-485.1006335590994,-412.06949419084725
1080000.0,-444.23769671122227,118.45665876048733,-483.7955988833814,-410.2017935355033
1104000.0,-435.5282718658447,113.93802510680284,-472.5513125451485,-402.60292025683475
1128000.0,-429.8933589935303,114.57979808118242,-468.1973914071824,-397.0932014062352
1152000.0,-433.7991856892903,122.88327005824786,-476.0976398606117,-399.6896655149073
1176000.0,-442.5611620585123,135.3226478926529,-488.71103073605275,-404.33102966067815
1200000.0,-444.0758958180746,140.96005752435084,-490.5939972931875,-403.1468043970679
1224000.0,-448.14119987487794,142.62505335369454,-495.0062421357803,-406.94289088734035
1248000.0,-443.77075665791824,138.30919732560594,-489.38241290244207,-402.80789959872175
1272000.0,-449.0971890767416,148.1202110555306,-501.4156623338179,-407.7997840099052
